Compounds(M1-M2-N),Overpotential(V),M1,M2,Category,Pred_Overpotential
Fe-Ce-O,1.3,Fe,Ce,Others,1.3073325
Fe-**-O,1.5,Fe,**,Others,1.4693217
Co-Ni-S,1.27,Co,Ni,Co-Ni,1.2814504
Ru-**-O,1.1,Ru,**,Others,1.1418064
Ni-**-P,1.4,Ni,**,Ni,1.3830966
Mn-**-O,1.24,Mn,**,Others,1.1884311
Mn-Co-O,1.35,Mn,Co,Co,1.3212094
Ti-Ni-O,1.25,Ti,Ni,Ni,1.2474465
Se-Fe-O,1.0,Se,Fe,Others,1.0126264
Fe-**-P,1.35,Fe,**,Others,1.3662882
Fe-**-P,1.4,Fe,**,Others,1.3856798
Co-Ni-O,0.97,Co,Ni,Co-Ni,1.003035
Ni-Fe-P,1.25,Ni,Fe,Ni,1.253563
Ti-**-C,0.98,Ti,**,Others,0.994619
Mo-Co-P,1.25,Mo,Co,Co,1.235671
Co-Ni-O,1.012,Co,Ni,Co-Ni,1.003035
Co-Ni-O,0.82,Co,Ni,Co-Ni,0.84318537
La-Ni-O,1.35,La,Ni,Ni,1.3370738
Co-**-S,1.4,Co,**,Co,1.4080137
Co-Fe-O,0.95,Co,Fe,Co,0.9794832
Fe-La-O,1.4,Fe,La,Others,1.3304094
Fe-La-O,1.3,Fe,La,Others,1.3304094
Ru-**-O,1.15,Ru,**,Others,1.1729333
Ru-**-O,1.2,Ru,**,Others,1.1729333
Ru-**-O,1.15,Ru,**,Others,1.1729333
Co-**-O,1.2,Co,**,Co,1.1546183
Dy-**-O,1.5,Dy,**,Others,1.4898213
Co-Cu-O,1.05,Co,Cu,Co,1.0434915
Ru-**-N,1.3,Ru,**,Others,1.245197
Ir-Co-N,1.05,Ir,Co,Co,1.0484167
Ti-**-O,1.15,Ti,**,Others,1.1690465
Ti-**-O,1.2,Ti,**,Others,1.1714815
La-Mn-O,1.35,La,Mn,Others,1.354106
Ni-**-S,1.45,Ni,**,Ni,1.4449844
Ni-Co-O,1.15,Ni,Co,Ni-Co,1.1332443
Mn-**-O,1.21,Mn,**,Others,1.2262481
Ag-Mn-O,1.0,Ag,Mn,Others,1.0058892
Co-Ru-O,0.84,Co,Ru,Co,0.90845567
La-Mn-O,1.3,La,Mn,Others,1.3103743
Co-Ni-O,0.9,Co,Ni,Co-Ni,0.84318537
Mn-**-O,1.15,Mn,**,Others,1.1884311
Co-**-S,1.4,Co,**,Co,1.4173155
Mo-**-S,1.25,Mo,**,Others,1.2584778
La-Mn-O,1.35,La,Mn,Others,1.3388815
Ag-Fe-O,1.1,Ag,Fe,Others,1.090432
Fe-La-O,1.3,Fe,La,Others,1.3125676
Se-Sn-O,1.0,Se,Sn,Others,0.9960543
Se-Sn-O,1.0,Se,Sn,Others,1.0000422
Te-Bi-O,0.92,Te,Bi,Others,0.9244479
Fe-**-N,1.33,Fe,**,Others,1.3308036
Ru-Fe-N,1.21,Ru,Fe,Others,1.2029359
Ni-Co-O,1.1,Ni,Co,Ni-Co,1.1131256
Ti-Pt-C,1.1,Ti,Pt,Others,1.0854686
Ni-Co-O,1.1,Ni,Co,Ni-Co,1.11864
Ni-Co-O,1.15,Ni,Co,Ni-Co,1.11864
Mn-**-O,1.29,Mn,**,Others,1.2420052
Co-Fe-O,1.08,Co,Fe,Co,1.0550653
Co-Mo-N,0.99,Co,Mo,Co,0.99631107
Co-**-N,1.11,Co,**,Co,1.1185082
Co-Fe-N,1.0,Co,Fe,Co,1.0063344
Co-**-O,1.15,Co,**,Co,1.1546183
Co-Ni-O,1.04,Co,Ni,Co-Ni,1.003035
Ni-**-N,1.1,Ni,**,Ni,1.0897832
Co-**-N,1.11,Co,**,Co,1.1185082
Bi-In-S,1.0,Bi,In,Others,1.001183
Pd-**-**,1.11,Pd,**,Others,1.1105499
Ni-**-O,1.2,Ni,**,Ni,1.1941255
Se-Co-O,1.03,Se,Co,Co,1.0240656
La-Co-O,1.38,La,Co,Co,1.370551
Co-Ni-O,1.06,Co,Ni,Co-Ni,1.0441775
Ni-**-P,1.34,Ni,**,Ni,1.371595
Co-**-P,1.4,Co,**,Co,1.4066434
Fe-**-N,1.3,Fe,**,Others,1.2839621
Ru-**-N,1.25,Ru,**,Others,1.267175
Co-**-N,1.18,Co,**,Co,1.154404
Co-Ni-N,0.98,Co,Ni,Co-Ni,0.9793731
Ni-**-N,1.04,Ni,**,Ni,1.0696795
La-Co-O,1.29,La,Co,Co,1.3235402
Fe-La-O,1.41,Fe,La,Others,1.3304094
Sn-La-O,1.01,Sn,La,Others,1.0046992
Ru-**-O,1.2,Ru,**,Others,1.2280134
Ru-**-O,1.25,Ru,**,Others,1.2280134
Ru-**-O,1.25,Ru,**,Others,1.2280134
Mn-**-O,1.17,Mn,**,Others,1.1857477
Ni-**-N,1.05,Ni,**,Ni,1.0587953
Co-**-P,1.35,Co,**,Co,1.4066434
Co-**-P,1.5,Co,**,Co,1.4066434
Co-**-P,1.4,Co,**,Co,1.4066434
Fe-**-N,1.28,Fe,**,Others,1.2839621
Ni-**-O,1.22,Ni,**,Ni,1.2113632
